action,service,operation_type,risk_level,risk_weight,reason
route53:ListQueryLoggingConfigs,Route 53,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:ListLogAnomalyDetectors,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:CreateUserPool,Cognito Identity,IDENTITY,HIGH,9,"Can create, modify, or remove an identity or credential."
autoscaling:DescribeAutoScalingInstances,Auto Scaling,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:GetCatalog,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
opensearch:UpdateApplication,OpenSearch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:ListLabelingJobsForWorkteam,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateSnapshot,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeIpamResourceDiscoveryAssociations,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:ModifyCluster,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:SearchTrainingPlanOfferings,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateNetworkInsightsPath,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:DescribeDBSecurityGroups,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:GetAdvancedPromptOptimizationJob,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:UpdateMaintenanceWindow,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DisassociateTrunkInterface,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
sagemaker:ListPipelineExecutions,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:DeleteEventSourceMapping,Lambda,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cognito-idp:AdminUserGlobalSignOut,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:ModifyIdentityIdFormat,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:PutUserPermissionsBoundary,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:ModifyManagedPrefixList,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sts:GetWebIdentityToken,STS,READ,LOW,2,Primarily reads or inspects AWS state/data.
comprehend:BatchDetectDominantLanguage,Comprehend,OTHER,MEDIUM,5,Project-defined review required for this operation.
autoscaling:DetachInstances,Auto Scaling,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ec2:AssociateIpamResourceDiscovery,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
opensearch:ListVpcEndpointAccess,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
kinesis:ListStreams,Kinesis,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:EnableSnapshotBlockPublicAccess,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:DeleteDBInstance,RDS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
bedrock:GetAutomatedReasoningPolicyNextScenario,Bedrock,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
s3:GetBucketLogging,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecs:StartTask,ECS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecs:ListServiceDeployments,ECS,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:CreateIntegration,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:BatchDescribeModelPackage,SageMaker,OTHER,MEDIUM,5,Project-defined review required for this operation.
glue:GetMLTaskRuns,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:BatchRebootClusterNodes,SageMaker,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:CreateRestoreImageTask,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudwatch:PutMetricData,CloudWatch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:EnableImageDeregistrationProtection,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:ListModelQualityJobDefinitions,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeTrafficMirrorSessions,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
autoscaling:PutScheduledUpdateGroupAction,Auto Scaling,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetSchemaByDefinition,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteTransitGatewayVpcAttachment,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:RejectVpcPeeringConnection,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
apigatewayv2:CreateDomainName,API Gateway V2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:CreateDBSnapshot,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:GetSagemakerServicecatalogPortfolioStatus,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
eks:CreateCapability,EKS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
comprehend:ListKeyPhrasesDetectionJobs,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:DeleteRedshiftIdcApplication,Redshift,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
iam:ListMFADevices,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DeleteWorkforce,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:ListDomains,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecr:GetLifecyclePolicyPreview,ECR,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
bedrock:ListCustomModelDeployments,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:GenerateOrganizationsAccessReport,IAM,OTHER,MEDIUM,5,Project-defined review required for this operation.
dynamodb:Query,DynamoDB,READ,LOW,2,Primarily reads or inspects AWS state/data.
guardduty:DeleteFilter,GuardDuty,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
lambda:CreateFunction,Lambda,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:DescribeDeliveries,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:DeleteInferenceProfile,Bedrock,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cloudformation:ListResourceScanRelatedResources,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:DescribeUserPoolClient,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:CreateUserDefinedFunction,Glue,IDENTITY,HIGH,9,"Can create, modify, or remove an identity or credential."
rds:DescribeExportTasks,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:ResizeCluster,Redshift,OTHER,MEDIUM,5,Project-defined review required for this operation.
iam:ChangePassword,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:AddTagsToResource,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetDataflowGraph,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:MoveCapacityReservationInstances,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:UpdateLookupTable,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
autoscaling:BatchPutScheduledUpdateGroupAction,Auto Scaling,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:CreateTags,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
kms:GetKeyRotationStatus,KMS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateReplaceRootVolumeTask,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
events:TagResource,EventBridge,TAGGING,LOW,3,Changes resource tags or metadata.
apigateway:TagResource,API Gateway,TAGGING,LOW,3,Changes resource tags or metadata.
logs:ListIntegrations,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:CreateInferenceComponent,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:ListLogGroups,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
comprehend:DetectTargetedSentiment,Comprehend,OTHER,MEDIUM,5,Project-defined review required for this operation.
rds:SwitchoverGlobalCluster,RDS,OTHER,MEDIUM,5,Project-defined review required for this operation.
bedrock:TagResource,Bedrock,TAGGING,LOW,3,Changes resource tags or metadata.
cloudwatch:DeleteAnomalyDetector,CloudWatch,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
route53:DisableHostedZoneDNSSEC,Route 53,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ec2:SearchTransitGatewayRoutes,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateDelegateMacVolumeOwnershipTask,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DeprovisionIpamByoasn,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
cloudtrail:ListTags,CloudTrail,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:CopyObject,S3,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:EnableAllowedImagesSettings,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:ListTrainingJobs,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:ListOrganizationsFeatures,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:UpdateGroup,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
redshift:CreateSnapshotSchedule,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:GetTransformer,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:ListBucketInventoryConfigurations,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:DescribeClusterVersions,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
events:CreateEndpoint,EventBridge,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:CreateDevEndpoint,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:UpdateCatalog,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecs:ListContainerInstances,ECS,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:ImportDocumentationParts,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:DescribeLineageGroup,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudwatch:GetOTelEnrichment,CloudWatch,READ,LOW,2,Primarily reads or inspects AWS state/data.
dynamodb:UntagResource,DynamoDB,TAGGING,LOW,3,Changes resource tags or metadata.
lambda:UpdateFunctionConfiguration,Lambda,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:GetGroupsForCapacityReservation,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:DeleteProductPage,API Gateway V2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:UpdateArtifact,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:ListMlflowTrackingServers,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
comprehend:DescribeEntityRecognizer,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
eks:ListInsights,EKS,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DeleteClusterSchedulerConfig,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sqs:TagQueue,SQS,TAGGING,LOW,3,Changes resource tags or metadata.
ssm:ModifyDocumentPermission,Systems Manager,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:DeleteVolume,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:DescribeSecondaryInterfaces,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:PutResourcePolicy,Systems Manager,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:EnableImageDeprecation,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:ListUserPolicies,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecs:SubmitContainerStateChange,ECS,OTHER,MEDIUM,5,Project-defined review required for this operation.
cloudformation:DetectStackSetDrift,CloudFormation,OTHER,MEDIUM,5,Project-defined review required for this operation.
route53:CreateTrafficPolicyInstance,Route 53,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
apigateway:DeleteStage,API Gateway,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:GetTransitGatewayMulticastDomainAssociations,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:DeleteDeliveryDestinationPolicy,CloudWatch Logs,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:DisableFastSnapshotRestores,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
comprehend:StartFlywheelIteration,Comprehend,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:ListPromptRouters,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:GetSSHPublicKey,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
athena:UpdateWorkGroup,Athena,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:RegisterPatchBaselineForPatchGroup,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
s3:DeleteBucketAnalyticsConfiguration,S3,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
opensearch:DescribeOutboundConnections,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:CreateOpsMetadata,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
kinesis:StopStreamEncryption,Kinesis,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
sagemaker:DescribeOptimizationJob,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:DeleteIdentityProvider,Cognito Identity,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
s3:ListDirectoryBuckets,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:GetIntegration,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:GetHumanReadableSummary,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeNetworkInsightsPaths,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateCapacityReservation,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigatewayv2:CreatePortal,API Gateway V2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:CreateNetworkAclEntry,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
kms:ListRetirableGrants,KMS,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
cognito-idp:AdminRespondToAuthChallenge,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
lambda:PutProvisionedConcurrencyConfig,Lambda,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:TagInstanceProfile,IAM,TAGGING,LOW,3,Changes resource tags or metadata.
redshift:ModifyUsageLimit,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:DetectStackResourceDrift,CloudFormation,OTHER,MEDIUM,5,Project-defined review required for this operation.
bedrock:CreateModelCopyJob,Bedrock,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:AssociateVpcCidrBlock,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
dynamodb:EnableKinesisStreamingDestination,DynamoDB,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:GetParameters,Systems Manager,SECURITY_SENSITIVE,HIGH,8,Can expose or manipulate sensitive security material/access.
apigatewayv2:CreateDeployment,API Gateway V2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:UpdateColumnStatisticsForTable,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:GetScalingConfigurationRecommendation,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
kinesis:GetShardIterator,Kinesis,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DetachClassicLinkVpc,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
kms:GenerateDataKeyPair,KMS,SECURITY_SENSITIVE,HIGH,8,Can expose or manipulate sensitive security material/access.
ec2:RegisterImage,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
events:UntagResource,EventBridge,TAGGING,LOW,3,Changes resource tags or metadata.
eks:ListAccessEntries,EKS,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:UpdateClusterSchedulerConfig,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:ConfirmSignUp,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:CreateFpgaImage,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:ReplaceTransitGatewayRoute,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:DescribeClientVpnEndpoints,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DisableAddressTransfer,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
